sample_id,p1,p3,stored_h,reconstructed_h,absolute_error,mode
his_0220,0.9,0.0562,0.5987,0.5987,0.0,PARTIAL_RENORMALIZED
his_0221,0.1333,0.0003,0.0858,0.0858,0.0,PARTIAL_RENORMALIZED
his_0222,0.1611,0.1059,0.1414,0.1414,0.0,PARTIAL_RENORMALIZED
his_0223,0.999,0.504,0.8222,0.8222,0.0,PARTIAL_RENORMALIZED
his_0224,0.5155,0.0889,0.3632,0.3632,0.0,PARTIAL_RENORMALIZED
his_0225,0.303,0.084,0.2248,0.2248,0.0,PARTIAL_RENORMALIZED
his_0226,0.175,0.2542,0.2033,0.2033,0.0,PARTIAL_RENORMALIZED
his_0227,0.0917,0.2817,0.1595,0.1595,0.0,PARTIAL_RENORMALIZED
his_0228,0.006,0.036,0.0167,0.0167,0.0,PARTIAL_RENORMALIZED
his_0229,0.1125,0.0179,0.0787,0.0787,0.0,PARTIAL_RENORMALIZED
his_0230,0.0,0.112,0.04,0.04,0.0,PARTIAL_RENORMALIZED
his_0231,0.5,0.4139,0.4693,0.4693,0.0,PARTIAL_RENORMALIZED
his_0232,0.0058,0.0656,0.0272,0.0272,0.0,PARTIAL_RENORMALIZED
his_0233,0.1333,0.0564,0.1058,0.1058,0.0,PARTIAL_RENORMALIZED
his_0234,0.3091,0.2061,0.2723,0.2723,0.0,PARTIAL_RENORMALIZED
his_0235,0.05,0.0809,0.061,0.061,0.0,PARTIAL_RENORMALIZED
his_0236,0.006,0.0336,0.0159,0.0159,0.0,PARTIAL_RENORMALIZED
his_0237,0.9916,0.1928,0.7063,0.7063,0.0,PARTIAL_RENORMALIZED
his_0238,0.0,0.603,0.2153,0.2153,0.0,PARTIAL_RENORMALIZED
his_0239,0.1333,0.0767,0.1131,0.1131,0.0,PARTIAL_RENORMALIZED
his_0240,0.9,0.0511,0.5969,0.5969,0.0,PARTIAL_RENORMALIZED
his_0241,0.0759,0.4122,0.196,0.196,0.0,PARTIAL_RENORMALIZED
his_0242,0.1027,0.8325,0.3633,0.3633,0.0,PARTIAL_RENORMALIZED
his_0243,0.1125,0.0694,0.0971,0.0971,0.0,PARTIAL_RENORMALIZED
his_0244,0.3354,0.0878,0.247,0.247,0.0,PARTIAL_RENORMALIZED
his_0245,0.0813,0.1329,0.0997,0.0997,0.0,PARTIAL_RENORMALIZED
his_0246,0.5442,0.2888,0.453,0.453,0.0,PARTIAL_RENORMALIZED
his_0247,0.7498,0.0802,0.5107,0.5107,0.0,PARTIAL_RENORMALIZED
his_0248,0.0,0.066,0.0236,0.0236,0.0,PARTIAL_RENORMALIZED
his_0249,0.9994,0.0834,0.6723,0.6723,0.0,PARTIAL_RENORMALIZED
his_0250,0.5775,0.2141,0.4477,0.4477,0.0,PARTIAL_RENORMALIZED
sci_0251,0.8339,0.3243,0.6519,0.6519,0.0,PARTIAL_RENORMALIZED
sci_0252,1.0,0.1795,0.707,0.707,0.0,PARTIAL_RENORMALIZED
sci_0253,0.1242,0.0697,0.1047,0.1047,0.0,PARTIAL_RENORMALIZED
sci_0254,0.5,0.0389,0.3353,0.3353,0.0,PARTIAL_RENORMALIZED
sci_0255,0.9542,0.1952,0.6832,0.6832,0.0,PARTIAL_RENORMALIZED
sci_0256,0.4838,0.422,0.4617,0.4617,0.0,PARTIAL_RENORMALIZED
sci_0257,0.3041,0.0839,0.2255,0.2255,0.0,PARTIAL_RENORMALIZED
sci_0258,0.9142,0.0429,0.6031,0.6031,0.0,PARTIAL_RENORMALIZED
sci_0259,0.5007,0.1865,0.3885,0.3885,0.0,PARTIAL_RENORMALIZED
sci_0260,1.0,0.0388,0.6568,0.6568,0.0,PARTIAL_RENORMALIZED
sci_0261,0.1819,0.0922,0.1499,0.1499,0.0,PARTIAL_RENORMALIZED
sci_0262,0.3366,0.1307,0.2631,0.2631,0.0,PARTIAL_RENORMALIZED
sci_0263,0.5003,0.3493,0.4464,0.4464,0.0,PARTIAL_RENORMALIZED
sci_0264,1.0,0.4415,0.8006,0.8006,0.0,PARTIAL_RENORMALIZED
