sample_id,p1,p3,stored_h,reconstructed_h,absolute_error,mode
geo_0629,0.3336,0.1859,0.2809,0.2809,0.0,PARTIAL_RENORMALIZED
geo_0630,0.9897,0.0689,0.6609,0.6609,0.0,PARTIAL_RENORMALIZED
geo_0631,0.5535,0.1742,0.4181,0.4181,0.0,PARTIAL_RENORMALIZED
geo_0632,0.018,0.1175,0.0535,0.0535,0.0,PARTIAL_RENORMALIZED
geo_0633,0.6358,0.1434,0.46,0.46,0.0,PARTIAL_RENORMALIZED
geo_0634,0.997,0.0362,0.6539,0.6539,0.0,PARTIAL_RENORMALIZED
geo_0635,0.8177,0.4111,0.6725,0.6725,0.0,PARTIAL_RENORMALIZED
geo_0636,0.8209,0.2457,0.6155,0.6155,0.0,PARTIAL_RENORMALIZED
geo_0637,0.3374,0.0767,0.2443,0.2443,0.0,PARTIAL_RENORMALIZED
geo_0638,0.9906,0.0633,0.6595,0.6595,0.0,PARTIAL_RENORMALIZED
geo_0639,0.4902,0.1613,0.3727,0.3727,0.0,PARTIAL_RENORMALIZED
geo_0640,0.909,0.1205,0.6274,0.6274,0.0,PARTIAL_RENORMALIZED
geo_0641,0.3301,0.1337,0.26,0.26,0.0,PARTIAL_RENORMALIZED
geo_0642,0.997,0.0746,0.6676,0.6676,0.0,PARTIAL_RENORMALIZED
geo_0643,0.737,0.4948,0.6505,0.6505,0.0,PARTIAL_RENORMALIZED
geo_0644,0.909,0.1702,0.6452,0.6452,0.0,PARTIAL_RENORMALIZED
geo_0645,0.2356,0.0429,0.1668,0.1668,0.0,PARTIAL_RENORMALIZED
geo_0646,0.997,0.0003,0.6411,0.6411,0.0,PARTIAL_RENORMALIZED
geo_0647,0.3366,0.3443,0.3393,0.3393,0.0,PARTIAL_RENORMALIZED
geo_0648,0.7483,0.3473,0.6051,0.6051,0.0,PARTIAL_RENORMALIZED
geo_0649,0.5323,0.2,0.4136,0.4136,0.0,PARTIAL_RENORMALIZED
geo_0650,0.9707,0.0564,0.6442,0.6442,0.0,PARTIAL_RENORMALIZED
pol_0651,0.0,0.1811,0.0647,0.0647,0.0,PARTIAL_RENORMALIZED
pol_0652,0.0857,0.106,0.0929,0.0929,0.0,PARTIAL_RENORMALIZED
pol_0653,0.3678,0.2037,0.3092,0.3092,0.0,PARTIAL_RENORMALIZED
pol_0654,0.6506,0.1839,0.4839,0.4839,0.0,PARTIAL_RENORMALIZED
pol_0655,0.1624,0.1619,0.1622,0.1622,0.0,PARTIAL_RENORMALIZED
pol_0656,0.1252,0.1743,0.1427,0.1427,0.0,PARTIAL_RENORMALIZED
pol_0657,0.4502,0.0844,0.3196,0.3196,0.0,PARTIAL_RENORMALIZED
pol_0658,0.4881,0.0694,0.3386,0.3386,0.0,PARTIAL_RENORMALIZED
pol_0659,0.2844,0.121,0.226,0.226,0.0,PARTIAL_RENORMALIZED
pol_0660,0.9,0.1037,0.6156,0.6156,0.0,PARTIAL_RENORMALIZED
pol_0661,0.4134,0.0636,0.2885,0.2885,0.0,PARTIAL_RENORMALIZED
pol_0662,0.0,0.0617,0.022,0.022,0.0,PARTIAL_RENORMALIZED
pol_0663,0.0,0.0691,0.0247,0.0247,0.0,PARTIAL_RENORMALIZED
pol_0664,0.175,0.1189,0.155,0.155,0.0,PARTIAL_RENORMALIZED
pol_0665,0.3255,0.1622,0.2672,0.2672,0.0,PARTIAL_RENORMALIZED
pol_0666,0.0,0.092,0.0329,0.0329,0.0,PARTIAL_RENORMALIZED
pol_0667,0.439,0.1005,0.3181,0.3181,0.0,PARTIAL_RENORMALIZED
pol_0668,0.9,0.1101,0.6179,0.6179,0.0,PARTIAL_RENORMALIZED
pol_0669,0.5261,0.2139,0.4146,0.4146,0.0,PARTIAL_RENORMALIZED
pol_0670,0.4969,0.0782,0.3474,0.3474,0.0,PARTIAL_RENORMALIZED
pol_0671,0.0,0.1021,0.0365,0.0365,0.0,PARTIAL_RENORMALIZED
pol_0672,0.1571,0.148,0.1539,0.1539,0.0,PARTIAL_RENORMALIZED
pol_0673,0.2058,0.0867,0.1633,0.1633,0.0,PARTIAL_RENORMALIZED
pol_0674,0.3381,0.0658,0.2409,0.2409,0.0,PARTIAL_RENORMALIZED
pol_0675,0.3473,0.137,0.2722,0.2722,0.0,PARTIAL_RENORMALIZED
pol_0676,0.9,0.215,0.6554,0.6554,0.0,PARTIAL_RENORMALIZED
pol_0677,0.3083,0.0737,0.2245,0.2245,0.0,PARTIAL_RENORMALIZED
pol_0678,0.4927,0.0772,0.3443,0.3443,0.0,PARTIAL_RENORMALIZED
pol_0679,0.0,0.0978,0.0349,0.0349,0.0,PARTIAL_RENORMALIZED
pol_0680,0.1036,0.1862,0.1331,0.1331,0.0,PARTIAL_RENORMALIZED
pol_0681,0.3797,0.061,0.2659,0.2659,0.0,PARTIAL_RENORMALIZED
pol_0682,0.4382,0.089,0.3135,0.3135,0.0,PARTIAL_RENORMALIZED
pol_0683,0.0,0.1481,0.0529,0.0529,0.0,PARTIAL_RENORMALIZED
pol_0684,0.4997,0.2068,0.3951,0.3951,0.0,PARTIAL_RENORMALIZED
pol_0685,0.4303,0.1926,0.3454,0.3454,0.0,PARTIAL_RENORMALIZED
pol_0686,0.4995,0.0814,0.3502,0.3502,0.0,PARTIAL_RENORMALIZED
pol_0687,0.0,0.1601,0.0572,0.0572,0.0,PARTIAL_RENORMALIZED
pol_0688,0.1214,0.4374,0.2342,0.2342,0.0,PARTIAL_RENORMALIZED
pol_0689,0.3917,0.2175,0.3295,0.3295,0.0,PARTIAL_RENORMALIZED
pol_0690,0.4958,0.0413,0.3335,0.3335,0.0,PARTIAL_RENORMALIZED
pol_0691,0.0,0.162,0.0579,0.0579,0.0,PARTIAL_RENORMALIZED
pol_0692,0.05,0.1245,0.0766,0.0766,0.0,PARTIAL_RENORMALIZED
pol_0693,0.4971,0.0732,0.3457,0.3457,0.0,PARTIAL_RENORMALIZED
pol_0694,0.7315,0.0844,0.5004,0.5004,0.0,PARTIAL_RENORMALIZED
pol_0695,0.4576,0.1307,0.3409,0.3409,0.0,PARTIAL_RENORMALIZED
pol_0696,0.0,0.3331,0.119,0.119,0.0,PARTIAL_RENORMALIZED
pol_0697,0.3424,0.0635,0.2428,0.2428,0.0,PARTIAL_RENORMALIZED
pol_0698,0.0,0.1547,0.0552,0.0552,0.0,PARTIAL_RENORMALIZED
pol_0699,0.0,0.1162,0.0415,0.0415,0.0,PARTIAL_RENORMALIZED
pol_0700,0.2335,0.2218,0.2293,0.2293,0.0,PARTIAL_RENORMALIZED
lit_0701,0.9,0.0789,0.6068,0.6068,0.0,PARTIAL_RENORMALIZED
lit_0702,0.0,0.0806,0.0288,0.0288,0.0,PARTIAL_RENORMALIZED
lit_0703,0.0,0.2411,0.0861,0.0861,0.0,PARTIAL_RENORMALIZED
lit_0704,0.9,0.1035,0.6156,0.6156,0.0,PARTIAL_RENORMALIZED
lit_0705,0.0032,0.1044,0.0393,0.0393,0.0,PARTIAL_RENORMALIZED
lit_0706,0.0024,0.2414,0.0877,0.0877,0.0,PARTIAL_RENORMALIZED
lit_0707,0.0,0.0936,0.0334,0.0334,0.0,PARTIAL_RENORMALIZED
lit_0708,0.012,0.073,0.0338,0.0338,0.0,PARTIAL_RENORMALIZED
lit_0709,0.0031,0.0477,0.019,0.019,0.0,PARTIAL_RENORMALIZED
lit_0710,0.0,0.0581,0.0207,0.0207,0.0,PARTIAL_RENORMALIZED
lit_0711,0.9843,0.0747,0.6595,0.6595,0.0,PARTIAL_RENORMALIZED
lit_0712,0.012,0.0955,0.0418,0.0418,0.0,PARTIAL_RENORMALIZED
lit_0713,0.0032,0.0727,0.028,0.028,0.0,PARTIAL_RENORMALIZED
lit_0714,0.0043,0.0467,0.0194,0.0194,0.0,PARTIAL_RENORMALIZED
lit_0715,0.0092,0.1103,0.0453,0.0453,0.0,PARTIAL_RENORMALIZED
lit_0716,0.006,0.039,0.0178,0.0178,0.0,PARTIAL_RENORMALIZED
lit_0717,0.9,0.1156,0.6199,0.6199,0.0,PARTIAL_RENORMALIZED
lit_0718,0.0049,0.0491,0.0207,0.0207,0.0,PARTIAL_RENORMALIZED
lit_0719,0.0,0.117,0.0418,0.0418,0.0,PARTIAL_RENORMALIZED
lit_0720,0.5312,0.1505,0.3953,0.3953,0.0,PARTIAL_RENORMALIZED
lit_0721,0.252,0.1048,0.1994,0.1994,0.0,PARTIAL_RENORMALIZED
lit_0722,0.0069,0.2455,0.0921,0.0921,0.0,PARTIAL_RENORMALIZED
lit_0723,0.0711,0.1053,0.0833,0.0833,0.0,PARTIAL_RENORMALIZED
lit_0724,0.0089,0.1634,0.0641,0.0641,0.0,PARTIAL_RENORMALIZED
lit_0725,0.0032,0.0969,0.0367,0.0367,0.0,PARTIAL_RENORMALIZED
lit_0726,0.0024,0.0135,0.0064,0.0064,0.0,PARTIAL_RENORMALIZED
lit_0727,0.3259,0.0894,0.2414,0.2414,0.0,PARTIAL_RENORMALIZED
lit_0728,0.0044,0.0256,0.012,0.012,0.0,PARTIAL_RENORMALIZED
lit_0729,0.0032,0.0679,0.0263,0.0263,0.0,PARTIAL_RENORMALIZED
lit_0730,0.0024,0.0422,0.0166,0.0166,0.0,PARTIAL_RENORMALIZED
lit_0731,0.0816,0.1542,0.1075,0.1075,0.0,PARTIAL_RENORMALIZED
lit_0732,0.0027,0.0752,0.0286,0.0286,0.0,PARTIAL_RENORMALIZED
lit_0733,0.0031,0.0606,0.0236,0.0236,0.0,PARTIAL_RENORMALIZED
lit_0734,0.5001,0.1189,0.364,0.364,0.0,PARTIAL_RENORMALIZED
lit_0735,0.3571,0.0573,0.25,0.25,0.0,PARTIAL_RENORMALIZED
lit_0736,0.0,0.0797,0.0285,0.0285,0.0,PARTIAL_RENORMALIZED
lit_0737,0.0032,0.0656,0.0255,0.0255,0.0,PARTIAL_RENORMALIZED
lit_0738,0.7185,0.5697,0.6654,0.6654,0.0,PARTIAL_RENORMALIZED
lit_0739,0.3019,0.1272,0.2395,0.2395,0.0,PARTIAL_RENORMALIZED
lit_0740,0.0878,0.0689,0.0811,0.0811,0.0,PARTIAL_RENORMALIZED
lit_0741,0.0031,0.0031,0.0031,0.0031,0.0,PARTIAL_RENORMALIZED
lit_0742,0.0024,0.0144,0.0067,0.0067,0.0,PARTIAL_RENORMALIZED
lit_0743,0.0037,0.0951,0.0363,0.0363,0.0,PARTIAL_RENORMALIZED
lit_0744,0.0089,0.0326,0.0174,0.0174,0.0,PARTIAL_RENORMALIZED
lit_0745,0.0031,0.0722,0.0278,0.0278,0.0,PARTIAL_RENORMALIZED
lit_0746,0.0064,0.0384,0.0178,0.0178,0.0,PARTIAL_RENORMALIZED
lit_0747,0.2919,0.1223,0.2313,0.2313,0.0,PARTIAL_RENORMALIZED
lit_0748,0.006,0.0336,0.0159,0.0159,0.0,PARTIAL_RENORMALIZED
lit_0749,0.0031,0.0001,0.002,0.002,0.0,PARTIAL_RENORMALIZED
lit_0750,0.0024,0.0279,0.0115,0.0115,0.0,PARTIAL_RENORMALIZED
