Model,Precision,Recall,AUPRC
SelfCheckGPT,0.5,1.0,0.8183
SelfCheckGPT,0.5034,1.0,0.8183
SelfCheckGPT,0.5068,1.0,0.8183
SelfCheckGPT,0.5088,0.9973,0.8183
SelfCheckGPT,0.5123,0.9973,0.8183
SelfCheckGPT,0.5159,0.9973,0.8183
SelfCheckGPT,0.5194,0.9973,0.8183
SelfCheckGPT,0.5217,0.9947,0.8183
SelfCheckGPT,0.5239,0.992,0.8183
SelfCheckGPT,0.5262,0.9893,0.8183
SelfCheckGPT,0.5286,0.9867,0.8183
SelfCheckGPT,0.5324,0.9867,0.8183
SelfCheckGPT,0.5348,0.984,0.8183
SelfCheckGPT,0.5387,0.984,0.8183
SelfCheckGPT,0.5426,0.984,0.8183
SelfCheckGPT,0.5467,0.984,0.8183
SelfCheckGPT,0.5507,0.984,0.8183
SelfCheckGPT,0.5549,0.984,0.8183
SelfCheckGPT,0.5576,0.9813,0.8183
SelfCheckGPT,0.5588,0.976,0.8183
SelfCheckGPT,0.5615,0.9733,0.8183
SelfCheckGPT,0.5659,0.9733,0.8183
SelfCheckGPT,0.5703,0.9733,0.8183
SelfCheckGPT,0.5717,0.968,0.8183
SelfCheckGPT,0.5746,0.9653,0.8183
SelfCheckGPT,0.5792,0.9653,0.8183
SelfCheckGPT,0.5823,0.9627,0.8183
SelfCheckGPT,0.5821,0.9547,0.8183
SelfCheckGPT,0.5869,0.9547,0.8183
SelfCheckGPT,0.5884,0.9493,0.8183
SelfCheckGPT,0.59,0.944,0.8183
SelfCheckGPT,0.595,0.944,0.8183
SelfCheckGPT,0.5966,0.9387,0.8183
SelfCheckGPT,0.6,0.936,0.8183
SelfCheckGPT,0.6034,0.9333,0.8183
SelfCheckGPT,0.607,0.9307,0.8183
SelfCheckGPT,0.6105,0.928,0.8183
SelfCheckGPT,0.6142,0.9253,0.8183
SelfCheckGPT,0.6179,0.9227,0.8183
SelfCheckGPT,0.618,0.9147,0.8183
SelfCheckGPT,0.6236,0.9147,0.8183
SelfCheckGPT,0.6275,0.912,0.8183
SelfCheckGPT,0.6333,0.912,0.8183
SelfCheckGPT,0.6374,0.9093,0.8183
SelfCheckGPT,0.6396,0.904,0.8183
SelfCheckGPT,0.6457,0.904,0.8183
SelfCheckGPT,0.6462,0.896,0.8183
SelfCheckGPT,0.6485,0.8907,0.8183
SelfCheckGPT,0.6529,0.888,0.8183
SelfCheckGPT,0.6554,0.8827,0.8183
SelfCheckGPT,0.66,0.88,0.8183
SelfCheckGPT,0.6626,0.8747,0.8183
SelfCheckGPT,0.6694,0.8747,0.8183
SelfCheckGPT,0.6701,0.8667,0.8183
SelfCheckGPT,0.675,0.864,0.8183
SelfCheckGPT,0.6779,0.8587,0.8183
SelfCheckGPT,0.6809,0.8533,0.8183
SelfCheckGPT,0.6839,0.848,0.8183
SelfCheckGPT,0.687,0.8427,0.8183
SelfCheckGPT,0.6879,0.8347,0.8183
SelfCheckGPT,0.6889,0.8267,0.8183
SelfCheckGPT,0.6966,0.8267,0.8183
SelfCheckGPT,0.7023,0.824,0.8183
SelfCheckGPT,0.7057,0.8187,0.8183
SelfCheckGPT,0.7047,0.808,0.8183
SelfCheckGPT,0.7082,0.8027,0.8183
SelfCheckGPT,0.7143,0.8,0.8183
SelfCheckGPT,0.7157,0.792,0.8183
SelfCheckGPT,0.7195,0.7867,0.8183
SelfCheckGPT,0.7185,0.776,0.8183
SelfCheckGPT,0.7225,0.7707,0.8183
SelfCheckGPT,0.7215,0.76,0.8183
SelfCheckGPT,0.7282,0.7573,0.8183
SelfCheckGPT,0.7299,0.7493,0.8183
SelfCheckGPT,0.7342,0.744,0.8183
SelfCheckGPT,0.7387,0.7387,0.8183
SelfCheckGPT,0.7405,0.7307,0.8183
SelfCheckGPT,0.7479,0.728,0.8183
SelfCheckGPT,0.75,0.72,0.8183
SelfCheckGPT,0.7493,0.7093,0.8183
SelfCheckGPT,0.7543,0.704,0.8183
SelfCheckGPT,0.7565,0.696,0.8183
SelfCheckGPT,0.7647,0.6933,0.8183
SelfCheckGPT,0.7672,0.6853,0.8183
SelfCheckGPT,0.7697,0.6773,0.8183
SelfCheckGPT,0.7723,0.6693,0.8183
SelfCheckGPT,0.7812,0.6667,0.8183
SelfCheckGPT,0.7841,0.6587,0.8183
SelfCheckGPT,0.7839,0.648,0.8183
SelfCheckGPT,0.7869,0.64,0.8183
SelfCheckGPT,0.7833,0.6267,0.8183
SelfCheckGPT,0.7898,0.6213,0.8183
SelfCheckGPT,0.7931,0.6133,0.8183
SelfCheckGPT,0.793,0.6027,0.8183
SelfCheckGPT,0.7929,0.592,0.8183
SelfCheckGPT,0.8,0.5867,0.8183
SelfCheckGPT,0.8074,0.5813,0.8183
SelfCheckGPT,0.8151,0.576,0.8183
SelfCheckGPT,0.8192,0.568,0.8183
SelfCheckGPT,0.8196,0.5573,0.8183
SelfCheckGPT,0.828,0.552,0.8183
SelfCheckGPT,0.8286,0.5413,0.8183
SelfCheckGPT,0.8292,0.5307,0.8183
SelfCheckGPT,0.8298,0.52,0.8183
SelfCheckGPT,0.8435,0.5173,0.8183
SelfCheckGPT,0.8444,0.5067,0.8183
SelfCheckGPT,0.8409,0.4933,0.8183
SelfCheckGPT,0.8372,0.48,0.8183
SelfCheckGPT,0.8333,0.4667,0.8183
SelfCheckGPT,0.839,0.4587,0.8183
SelfCheckGPT,0.845,0.4507,0.8183
SelfCheckGPT,0.8462,0.44,0.8183
SelfCheckGPT,0.8579,0.4347,0.8183
SelfCheckGPT,0.8595,0.424,0.8183
SelfCheckGPT,0.8556,0.4107,0.8183
SelfCheckGPT,0.8686,0.4053,0.8183
SelfCheckGPT,0.8647,0.392,0.8183
SelfCheckGPT,0.8667,0.3813,0.8183
SelfCheckGPT,0.8625,0.368,0.8183
SelfCheckGPT,0.8774,0.3627,0.8183
SelfCheckGPT,0.8867,0.3547,0.8183
SelfCheckGPT,0.8828,0.3413,0.8183
SelfCheckGPT,0.8857,0.3307,0.8183
SelfCheckGPT,0.8815,0.3173,0.8183
SelfCheckGPT,0.8846,0.3067,0.8183
SelfCheckGPT,0.896,0.2987,0.8183
SelfCheckGPT,0.9083,0.2907,0.8183
SelfCheckGPT,0.913,0.28,0.8183
SelfCheckGPT,0.9273,0.272,0.8183
SelfCheckGPT,0.9429,0.264,0.8183
SelfCheckGPT,0.94,0.2507,0.8183
SelfCheckGPT,0.9474,0.24,0.8183
SelfCheckGPT,0.9556,0.2293,0.8183
SelfCheckGPT,0.9647,0.2187,0.8183
SelfCheckGPT,0.9625,0.2053,0.8183
SelfCheckGPT,0.96,0.192,0.8183
SelfCheckGPT,0.9571,0.1787,0.8183
SelfCheckGPT,0.9538,0.1653,0.8183
SelfCheckGPT,0.95,0.152,0.8183
SelfCheckGPT,0.9636,0.1413,0.8183
SelfCheckGPT,0.96,0.128,0.8183
SelfCheckGPT,0.9556,0.1147,0.8183
SelfCheckGPT,0.95,0.1013,0.8183
SelfCheckGPT,0.9714,0.0907,0.8183
SelfCheckGPT,0.9667,0.0773,0.8183
SelfCheckGPT,0.96,0.064,0.8183
SelfCheckGPT,0.95,0.0507,0.8183
SelfCheckGPT,0.9333,0.0373,0.8183
SelfCheckGPT,0.9,0.024,0.8183
SelfCheckGPT,1.0,0.0133,0.8183
SelfCheckGPT,1.0,0.0,0.8183
RAGAS,0.5,1.0,0.8476
RAGAS,0.5034,1.0,0.8476
RAGAS,0.5068,1.0,0.8476
RAGAS,0.5102,1.0,0.8476
RAGAS,0.5137,1.0,0.8476
RAGAS,0.5172,1.0,0.8476
RAGAS,0.5208,1.0,0.8476
RAGAS,0.5245,1.0,0.8476
RAGAS,0.5282,1.0,0.8476
RAGAS,0.5319,1.0,0.8476
RAGAS,0.5357,1.0,0.8476
RAGAS,0.5396,1.0,0.8476
RAGAS,0.5435,1.0,0.8476
RAGAS,0.5474,1.0,0.8476
RAGAS,0.55,0.9973,0.8476
RAGAS,0.5541,0.9973,0.8476
RAGAS,0.5582,0.9973,0.8476
RAGAS,0.5624,0.9973,0.8476
RAGAS,0.5636,0.992,0.8476
RAGAS,0.5664,0.9893,0.8476
RAGAS,0.5677,0.984,0.8476
RAGAS,0.5721,0.984,0.8476
RAGAS,0.575,0.9813,0.8476
RAGAS,0.5795,0.9813,0.8476
RAGAS,0.5825,0.9787,0.8476
RAGAS,0.5872,0.9787,0.8476
RAGAS,0.5919,0.9787,0.8476
RAGAS,0.5967,0.9787,0.8476
RAGAS,0.6016,0.9787,0.8476
RAGAS,0.6066,0.9787,0.8476
RAGAS,0.6117,0.9787,0.8476
RAGAS,0.6168,0.9787,0.8476
RAGAS,0.6203,0.976,0.8476
RAGAS,0.6239,0.9733,0.8476
RAGAS,0.6293,0.9733,0.8476
RAGAS,0.6313,0.968,0.8476
RAGAS,0.6351,0.9653,0.8476
RAGAS,0.6389,0.9627,0.8476
RAGAS,0.6393,0.9547,0.8476
RAGAS,0.645,0.9547,0.8476
RAGAS,0.6509,0.9547,0.8476
RAGAS,0.6514,0.9467,0.8476
RAGAS,0.6519,0.9387,0.8476
RAGAS,0.6561,0.936,0.8476
RAGAS,0.6623,0.936,0.8476
RAGAS,0.6667,0.9333,0.8476
RAGAS,0.6731,0.9333,0.8476
RAGAS,0.6777,0.9307,0.8476
RAGAS,0.6824,0.928,0.8476
RAGAS,0.6851,0.9227,0.8476
RAGAS,0.69,0.92,0.8476
RAGAS,0.6949,0.9173,0.8476
RAGAS,0.7,0.9147,0.8476
RAGAS,0.7031,0.9093,0.8476
RAGAS,0.7042,0.9013,0.8476
RAGAS,0.7074,0.896,0.8476
RAGAS,0.7085,0.888,0.8476
RAGAS,0.7118,0.8827,0.8476
RAGAS,0.7196,0.8827,0.8476
RAGAS,0.7231,0.8773,0.8476
RAGAS,0.7267,0.872,0.8476
RAGAS,0.7303,0.8667,0.8476
RAGAS,0.7386,0.8667,0.8476
RAGAS,0.7448,0.864,0.8476
RAGAS,0.7488,0.8587,0.8476
RAGAS,0.7529,0.8533,0.8476
RAGAS,0.7548,0.8453,0.8476
RAGAS,0.7566,0.8373,0.8476
RAGAS,0.761,0.832,0.8476
RAGAS,0.763,0.824,0.8476
RAGAS,0.765,0.816,0.8476
RAGAS,0.7696,0.8107,0.8476
RAGAS,0.7744,0.8053,0.8476
RAGAS,0.774,0.7947,0.8476
RAGAS,0.7737,0.784,0.8476
RAGAS,0.7813,0.7813,0.8476
RAGAS,0.7892,0.7787,0.8476
RAGAS,0.7918,0.7707,0.8476
RAGAS,0.7944,0.7627,0.8476
RAGAS,0.7944,0.752,0.8476
RAGAS,0.8,0.7467,0.8476
RAGAS,0.8087,0.744,0.8476
RAGAS,0.8176,0.7413,0.8476
RAGAS,0.8209,0.7333,0.8476
RAGAS,0.8333,0.7333,0.8476
RAGAS,0.84,0.728,0.8476
RAGAS,0.8438,0.72,0.8476
RAGAS,0.8476,0.712,0.8476
RAGAS,0.8548,0.7067,0.8476
RAGAS,0.859,0.6987,0.8476
RAGAS,0.86,0.688,0.8476
RAGAS,0.8712,0.6853,0.8476
RAGAS,0.8793,0.68,0.8476
RAGAS,0.8807,0.6693,0.8476
RAGAS,0.8786,0.656,0.8476
RAGAS,0.88,0.6453,0.8476
RAGAS,0.8852,0.6373,0.8476
RAGAS,0.8906,0.6293,0.8476
RAGAS,0.8885,0.616,0.8476
RAGAS,0.8902,0.6053,0.8476
RAGAS,0.888,0.592,0.8476
RAGAS,0.8898,0.5813,0.8476
RAGAS,0.8958,0.5733,0.8476
RAGAS,0.8936,0.56,0.8476
RAGAS,0.8913,0.5467,0.8476
RAGAS,0.8978,0.5387,0.8476
RAGAS,0.8955,0.5253,0.8476
RAGAS,0.893,0.512,0.8476
RAGAS,0.8952,0.5013,0.8476
RAGAS,0.8976,0.4907,0.8476
RAGAS,0.895,0.4773,0.8476
RAGAS,0.8923,0.464,0.8476
RAGAS,0.9,0.456,0.8476
RAGAS,0.9081,0.448,0.8476
RAGAS,0.9056,0.4347,0.8476
RAGAS,0.9029,0.4213,0.8476
RAGAS,0.9,0.408,0.8476
RAGAS,0.903,0.3973,0.8476
RAGAS,0.9,0.384,0.8476
RAGAS,0.9097,0.376,0.8476
RAGAS,0.92,0.368,0.8476
RAGAS,0.9241,0.3573,0.8476
RAGAS,0.9214,0.344,0.8476
RAGAS,0.9185,0.3307,0.8476
RAGAS,0.9154,0.3173,0.8476
RAGAS,0.912,0.304,0.8476
RAGAS,0.9167,0.2933,0.8476
RAGAS,0.913,0.28,0.8476
RAGAS,0.9091,0.2667,0.8476
RAGAS,0.9048,0.2533,0.8476
RAGAS,0.9,0.24,0.8476
RAGAS,0.8947,0.2267,0.8476
RAGAS,0.9,0.216,0.8476
RAGAS,0.8941,0.2027,0.8476
RAGAS,0.8875,0.1893,0.8476
RAGAS,0.8933,0.1787,0.8476
RAGAS,0.8857,0.1653,0.8476
RAGAS,0.8769,0.152,0.8476
RAGAS,0.8667,0.1387,0.8476
RAGAS,0.8545,0.1253,0.8476
RAGAS,0.88,0.1173,0.8476
RAGAS,0.9111,0.1093,0.8476
RAGAS,0.925,0.0987,0.8476
RAGAS,0.9143,0.0853,0.8476
RAGAS,0.9,0.072,0.8476
RAGAS,0.88,0.0587,0.8476
RAGAS,0.85,0.0453,0.8476
RAGAS,0.8667,0.0347,0.8476
RAGAS,0.9,0.024,0.8476
RAGAS,1.0,0.0133,0.8476
RAGAS,1.0,0.0,0.8476
TRUE,0.5,1.0,0.7824
TRUE,0.5047,1.0,0.7824
TRUE,0.5081,1.0,0.7824
TRUE,0.5116,1.0,0.7824
TRUE,0.5151,1.0,0.7824
TRUE,0.5187,1.0,0.7824
TRUE,0.5209,0.9973,0.7824
TRUE,0.5217,0.992,0.7824
TRUE,0.524,0.9893,0.7824
TRUE,0.5277,0.9893,0.7824
TRUE,0.5301,0.9867,0.7824
TRUE,0.5325,0.984,0.7824
TRUE,0.5363,0.984,0.7824
TRUE,0.5373,0.9787,0.7824
TRUE,0.5398,0.976,0.7824
TRUE,0.5438,0.976,0.7824
TRUE,0.5449,0.9707,0.7824
TRUE,0.549,0.9707,0.7824
TRUE,0.5532,0.9707,0.7824
TRUE,0.5544,0.9653,0.7824
TRUE,0.5571,0.9627,0.7824
TRUE,0.5614,0.9627,0.7824
TRUE,0.5643,0.96,0.7824
TRUE,0.564,0.952,0.7824
TRUE,0.5669,0.9493,0.7824
TRUE,0.5714,0.9493,0.7824
TRUE,0.5761,0.9493,0.7824
TRUE,0.5808,0.9493,0.7824
TRUE,0.5822,0.944,0.7824
TRUE,0.5837,0.9387,0.7824
TRUE,0.587,0.936,0.7824
TRUE,0.5885,0.9307,0.7824
TRUE,0.5918,0.928,0.7824
TRUE,0.5969,0.928,0.7824
TRUE,0.5986,0.9227,0.7824
TRUE,0.6021,0.92,0.7824
TRUE,0.6039,0.9147,0.7824
TRUE,0.6075,0.912,0.7824
TRUE,0.6093,0.9067,0.7824
TRUE,0.6148,0.9067,0.7824
TRUE,0.6168,0.9013,0.7824
TRUE,0.6225,0.9013,0.7824
TRUE,0.6245,0.896,0.7824
TRUE,0.6266,0.8907,0.7824
TRUE,0.6307,0.888,0.7824
TRUE,0.631,0.88,0.7824
TRUE,0.6351,0.8773,0.7824
TRUE,0.6374,0.872,0.7824
TRUE,0.6437,0.872,0.7824
TRUE,0.6461,0.8667,0.7824
TRUE,0.6486,0.8613,0.7824
TRUE,0.6531,0.8587,0.7824
TRUE,0.6557,0.8533,0.7824
TRUE,0.6584,0.848,0.7824
TRUE,0.6611,0.8427,0.7824
TRUE,0.6638,0.8373,0.7824
TRUE,0.6688,0.8347,0.7824
TRUE,0.6695,0.8267,0.7824
TRUE,0.6725,0.8213,0.7824
TRUE,0.6755,0.816,0.7824
TRUE,0.6786,0.8107,0.7824
TRUE,0.6817,0.8053,0.7824
TRUE,0.6826,0.7973,0.7824
TRUE,0.6882,0.7947,0.7824
TRUE,0.6916,0.7893,0.7824
TRUE,0.6903,0.7787,0.7824
TRUE,0.6938,0.7733,0.7824
TRUE,0.6949,0.7653,0.7824
TRUE,0.6985,0.76,0.7824
TRUE,0.6998,0.752,0.7824
TRUE,0.7035,0.7467,0.7824
TRUE,0.7074,0.7413,0.7824
TRUE,0.7088,0.7333,0.7824
TRUE,0.7128,0.728,0.7824
TRUE,0.7196,0.7253,0.7824
TRUE,0.7158,0.712,0.7824
TRUE,0.7228,0.7093,0.7824
